ticker,codigo,operadora,tema
1SSEMYM1.MX,1SSEMYM1,Otras / boutiques,Clave opaca (sin tema en la clave)
1SSEMYMA2.MX,1SSEMYMA2,Otras / boutiques,Clave opaca (sin tema en la clave)
1SSEMYMB201.MX,1SSEMYMB201,Otras / boutiques,Clave opaca (sin tema en la clave)
ACOP659A2.MX,ACOP659A2,Actinver,Clave opaca (sin tema en la clave)
ACOP659B2.MX,ACOP659B2,Actinver,Clave opaca (sin tema en la clave)
ACOP8591.MX,ACOP8591,Actinver,Clave opaca (sin tema en la clave)
ACOP859A2.MX,ACOP859A2,Actinver,Clave opaca (sin tema en la clave)
ACOP859B2.MX,ACOP859B2,Actinver,Clave opaca (sin tema en la clave)
ACT2025A.MX,ACT2025A,Actinver,Ciclo de vida / fecha objetivo
ACT2030A.MX,ACT2030A,Actinver,Ciclo de vida / fecha objetivo
ACT2030B-1.MX,ACT2030B-1,Actinver,Ciclo de vida / fecha objetivo
ACT2030E-1.MX,ACT2030E-1,Actinver,Ciclo de vida / fecha objetivo
ACT2030E-2.MX,ACT2030E-2,Actinver,Ciclo de vida / fecha objetivo
ACT2035A.MX,ACT2035A,Actinver,Ciclo de vida / fecha objetivo
ACT2035B-1.MX,ACT2035B-1,Actinver,Ciclo de vida / fecha objetivo
ACT2035E-1.MX,ACT2035E-1,Actinver,Ciclo de vida / fecha objetivo
ACT2035E-2.MX,ACT2035E-2,Actinver,Ciclo de vida / fecha objetivo
ACT2040A.MX,ACT2040A,Actinver,Ciclo de vida / fecha objetivo
ACT2040B-1.MX,ACT2040B-1,Actinver,Ciclo de vida / fecha objetivo
ACT2040E-1.MX,ACT2040E-1,Actinver,Ciclo de vida / fecha objetivo
ACT2040E-2.MX,ACT2040E-2,Actinver,Ciclo de vida / fecha objetivo
ACT4560A.MX,ACT4560A,Actinver,Clave opaca (sin tema en la clave)
ACT4560B-1.MX,ACT4560B-1,Actinver,Clave opaca (sin tema en la clave)
ACT4560E-1.MX,ACT4560E-1,Actinver,Clave opaca (sin tema en la clave)
ACT4560E-2.MX,ACT4560E-2,Actinver,Clave opaca (sin tema en la clave)
ACTDUALA.MX,ACTDUALA,Actinver,Clave opaca (sin tema en la clave)
ACTDUALB.MX,ACTDUALB,Actinver,Clave opaca (sin tema en la clave)
ACTDUALE.MX,ACTDUALE,Actinver,Clave opaca (sin tema en la clave)
ACTDUALFF.MX,ACTDUALFF,Actinver,Deuda (generica / plazo n/d)
ACTDUALM.MX,ACTDUALM,Actinver,Clave opaca (sin tema en la clave)
ACTI500B.MX,ACTI500B,Actinver,Clave opaca (sin tema en la clave)
ACTI500M.MX,ACTI500M,Actinver,Clave opaca (sin tema en la clave)
ACTICOBB.MX,ACTICOBB,Actinver,Cobertura cambiaria / dolares (USD)
ACTICOBCE.MX,ACTICOBCE,Actinver,Cobertura cambiaria / dolares (USD)
ACTICOBM.MX,ACTICOBM,Actinver,Cobertura cambiaria / dolares (USD)
ACTICREE.MX,ACTICREE,Actinver,Mixtos / balanceados / perfilados
ACTICREM.MX,ACTICREM,Actinver,Mixtos / balanceados / perfilados
ACTIEDA.MX,ACTIEDA,Actinver,Clave opaca (sin tema en la clave)
ACTIEDB.MX,ACTIEDB,Actinver,Clave opaca (sin tema en la clave)
ACTIEDCE.MX,ACTIEDCE,Actinver,Clave opaca (sin tema en la clave)
ACTIEDE.MX,ACTIEDE,Actinver,Clave opaca (sin tema en la clave)
ACTIEDFF.MX,ACTIEDFF,Actinver,Deuda (generica / plazo n/d)
ACTIEDM.MX,ACTIEDM,Actinver,Clave opaca (sin tema en la clave)
ACTIEURB.MX,ACTIEURB,Actinver,Renta variable internacional / global
ACTIG+2A.MX,ACTIG+2A,Actinver,Clave opaca (sin tema en la clave)
ACTIG+2B.MX,ACTIG+2B,Actinver,Clave opaca (sin tema en la clave)
ACTIG+2E.MX,ACTIG+2E,Actinver,Clave opaca (sin tema en la clave)
ACTIG+2FF.MX,ACTIG+2FF,Actinver,Deuda (generica / plazo n/d)
ACTIG+2M.MX,ACTIG+2M,Actinver,Clave opaca (sin tema en la clave)
ACTIG+B.MX,ACTIG+B,Actinver,Clave opaca (sin tema en la clave)
ACTIG+M.MX,ACTIG+M,Actinver,Clave opaca (sin tema en la clave)
ACTIGOBB.MX,ACTIGOBB,Actinver,Deuda gubernamental
ACTIGOBCE.MX,ACTIGOBCE,Actinver,Deuda gubernamental
ACTIGOBG-1.MX,ACTIGOBG-1,Actinver,Deuda gubernamental
ACTIGOBGE-1.MX,ACTIGOBGE-1,Actinver,Deuda gubernamental
ACTIMEDB.MX,ACTIMEDB,Actinver,Clave opaca (sin tema en la clave)
ACTIMEDM.MX,ACTIMEDM,Actinver,Clave opaca (sin tema en la clave)
ACTINTKE.MX,ACTINTKE,Actinver,Clave opaca (sin tema en la clave)
ACTIOP1A.MX,ACTIOP1A,Actinver,Clave opaca (sin tema en la clave)
ACTIOP1B.MX,ACTIOP1B,Actinver,Clave opaca (sin tema en la clave)
ACTIOP1M.MX,ACTIOP1M,Actinver,Clave opaca (sin tema en la clave)
ACTIPLUB.MX,ACTIPLUB,Actinver,Clave opaca (sin tema en la clave)
ACTIPLUM.MX,ACTIPLUM,Actinver,Clave opaca (sin tema en la clave)
ACTIPT4B-1.MX,ACTIPT4B-1,Actinver,Clave opaca (sin tema en la clave)
ACTIPT4B-2.MX,ACTIPT4B-2,Actinver,Clave opaca (sin tema en la clave)
ACTIPT4B-3.MX,ACTIPT4B-3,Actinver,Clave opaca (sin tema en la clave)
ACTIPT4M.MX,ACTIPT4M,Actinver,Clave opaca (sin tema en la clave)
ACTIRENB.MX,ACTIRENB,Actinver,Clave opaca (sin tema en la clave)
ACTIRENM.MX,ACTIRENM,Actinver,Clave opaca (sin tema en la clave)
ACTIRVTA.MX,ACTIRVTA,Actinver,Renta variable (region n/d)
ACTIRVTB.MX,ACTIRVTB,Actinver,Renta variable (region n/d)
ACTIRVTE.MX,ACTIRVTE,Actinver,Renta variable (region n/d)
ACTIRVTM.MX,ACTIRVTM,Actinver,Renta variable (region n/d)
ACTVIDAB.MX,ACTVIDAB,Actinver,Clave opaca (sin tema en la clave)
ACTVIDAE.MX,ACTVIDAE,Actinver,Clave opaca (sin tema en la clave)
AFIRCORA.MX,AFIRCORA,Afirme,Deuda (generica / plazo n/d)
AFIRCORB.MX,AFIRCORB,Afirme,Deuda (generica / plazo n/d)
AFIRCORBE.MX,AFIRCORBE,Afirme,Deuda (generica / plazo n/d)
AFIRCORBM.MX,AFIRCORBM,Afirme,Deuda (generica / plazo n/d)
AFIRCORC.MX,AFIRCORC,Afirme,Deuda (generica / plazo n/d)
AFIRCORCE.MX,AFIRCORCE,Afirme,Deuda (generica / plazo n/d)
AFIRCORCM.MX,AFIRCORCM,Afirme,Deuda (generica / plazo n/d)
AFIRMESA.MX,AFIRMESA,Afirme,Deuda (generica / plazo n/d)
AFIRMESB.MX,AFIRMESB,Afirme,Deuda (generica / plazo n/d)
AFIRMESB1.MX,AFIRMESB1,Afirme,Deuda (generica / plazo n/d)
AFIRMESB2.MX,AFIRMESB2,Afirme,Deuda (generica / plazo n/d)
AFIRMESB3.MX,AFIRMESB3,Afirme,Deuda (generica / plazo n/d)
AFIRMESBE.MX,AFIRMESBE,Afirme,Deuda (generica / plazo n/d)
AFIRMESBM.MX,AFIRMESBM,Afirme,Deuda (generica / plazo n/d)
AFIRMESC.MX,AFIRMESC,Afirme,Deuda (generica / plazo n/d)
AFIRMESCE.MX,AFIRMESCE,Afirme,Deuda (generica / plazo n/d)
AFIRMESCM.MX,AFIRMESCM,Afirme,Deuda (generica / plazo n/d)
AFIRMESD.MX,AFIRMESD,Afirme,Deuda (generica / plazo n/d)
AFIRMESDM.MX,AFIRMESDM,Afirme,Deuda (generica / plazo n/d)
AFIRMESE.MX,AFIRMESE,Afirme,Deuda (generica / plazo n/d)
AFIRPLUA.MX,AFIRPLUA,Afirme,Deuda (generica / plazo n/d)
AFIRPLUB.MX,AFIRPLUB,Afirme,Deuda (generica / plazo n/d)
AFIRPLUB1.MX,AFIRPLUB1,Afirme,Deuda (generica / plazo n/d)
AFIRPLUB2.MX,AFIRPLUB2,Afirme,Deuda (generica / plazo n/d)
AFIRPLUB3.MX,AFIRPLUB3,Afirme,Deuda (generica / plazo n/d)
AFIRPLUBE.MX,AFIRPLUBE,Afirme,Deuda (generica / plazo n/d)
AFIRPLUBM.MX,AFIRPLUBM,Afirme,Deuda (generica / plazo n/d)
AFIRPLUC.MX,AFIRPLUC,Afirme,Deuda (generica / plazo n/d)
AFIRPLUCE.MX,AFIRPLUCE,Afirme,Deuda (generica / plazo n/d)
AFIRPLUCM.MX,AFIRPLUCM,Afirme,Deuda (generica / plazo n/d)
AFIRPLUD.MX,AFIRPLUD,Afirme,Deuda (generica / plazo n/d)
AFIRPLUDM.MX,AFIRPLUDM,Afirme,Deuda (generica / plazo n/d)
AFIRPLUE.MX,AFIRPLUE,Afirme,Deuda (generica / plazo n/d)
AFIRVISA.MX,AFIRVISA,Afirme,Deuda (generica / plazo n/d)
AFIRVISB.MX,AFIRVISB,Afirme,Deuda (generica / plazo n/d)
AFIRVISB1.MX,AFIRVISB1,Afirme,Deuda (generica / plazo n/d)
AFIRVISB2.MX,AFIRVISB2,Afirme,Deuda (generica / plazo n/d)
AFIRVISB3.MX,AFIRVISB3,Afirme,Deuda (generica / plazo n/d)
AFIRVISBE.MX,AFIRVISBE,Afirme,Deuda (generica / plazo n/d)
AFIRVISBM.MX,AFIRVISBM,Afirme,Deuda (generica / plazo n/d)
AFIRVISC.MX,AFIRVISC,Afirme,Deuda (generica / plazo n/d)
AFIRVISCE.MX,AFIRVISCE,Afirme,Deuda (generica / plazo n/d)
AFIRVISCM.MX,AFIRVISCM,Afirme,Deuda (generica / plazo n/d)
AFIRVISD.MX,AFIRVISD,Afirme,Deuda (generica / plazo n/d)
AFIRVISDM.MX,AFIRVISDM,Afirme,Deuda (generica / plazo n/d)
AFIRVISE.MX,AFIRVISE,Afirme,Deuda (generica / plazo n/d)
ALPHA+B-E1.MX,ALPHA+B-E1,Otras / boutiques,Deuda largo plazo
ALPHA+B-F0.MX,ALPHA+B-F0,Otras / boutiques,Deuda largo plazo
ALPHA+B-M0.MX,ALPHA+B-M0,Otras / boutiques,Deuda largo plazo
ALPHA+B-M1.MX,ALPHA+B-M1,Otras / boutiques,Deuda largo plazo
ALPHA+B-M2.MX,ALPHA+B-M2,Otras / boutiques,Deuda largo plazo
ALTER1+B-E1.MX,ALTER1+B-E1,Otras / boutiques,Clave opaca (sin tema en la clave)
ALTERNB.MX,ALTERNB,Actinver,Clave opaca (sin tema en la clave)
ALTERNE.MX,ALTERNE,Actinver,Clave opaca (sin tema en la clave)
ALTERNFF.MX,ALTERNFF,Actinver,Deuda (generica / plazo n/d)
ALTERNM.MX,ALTERNM,Actinver,Clave opaca (sin tema en la clave)
AMVALORB-M1.MX,AMVALORB-M1,Otras / boutiques,Clave opaca (sin tema en la clave)
APIBONOE4.MX,APIBONOE4,Otras / boutiques,Clave opaca (sin tema en la clave)
APIBONOE5.MX,APIBONOE5,Otras / boutiques,Clave opaca (sin tema en la clave)
APIBONOF4.MX,APIBONOF4,Otras / boutiques,Clave opaca (sin tema en la clave)
APIBONOM5.MX,APIBONOM5,Otras / boutiques,Clave opaca (sin tema en la clave)
APICPAPIF.MX,APICPAPIF,Otras / boutiques,Deuda corto plazo
APICPE1.MX,APICPE1,Otras / boutiques,Deuda corto plazo
APICPE3S.MX,APICPE3S,Otras / boutiques,Deuda corto plazo
APRIN601.MX,APRIN601,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
APRIN60A2.MX,APRIN60A2,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
APRIN60B2.MX,APRIN60B2,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
APRIN751.MX,APRIN751,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
APRIN75A2.MX,APRIN75A2,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
APRIN75B2.MX,APRIN75B2,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
APRIN851.MX,APRIN851,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
APRIN85A2.MX,APRIN85A2,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
APRIN85B2.MX,APRIN85B2,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
APRIN90B.MX,APRIN90B,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
APRINBP1.MX,APRINBP1,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
APRININB.MX,APRININB,Afore / SIEFORE (retiro),Clave opaca (sin tema en la clave)
AXESCAPE1.MX,AXESCAPE1,Finaccess,Renta variable (region n/d)
AXESCOBE3.MX,AXESCOBE3,Finaccess,Cobertura cambiaria / dolares (USD)
AXESCOBM3.MX,AXESCOBM3,Finaccess,Cobertura cambiaria / dolares (USD)
AXESDVDA.MX,AXESDVDA,Finaccess,Clave opaca (sin tema en la clave)
AXESDVDF1.MX,AXESDVDF1,Finaccess,Clave opaca (sin tema en la clave)
AXESDVDF2.MX,AXESDVDF2,Finaccess,Clave opaca (sin tema en la clave)
AXESDVDF3.MX,AXESDVDF3,Finaccess,Clave opaca (sin tema en la clave)
AXESEDME4.MX,AXESEDME4,Finaccess,Clave opaca (sin tema en la clave)
AXESESGA.MX,AXESESGA,Finaccess,ESG / sustentables
AXESESGF1.MX,AXESESGF1,Finaccess,ESG / sustentables
AXESFINA.MX,AXESFINA,Finaccess,Deuda (generica / plazo n/d)
AXESFINE3.MX,AXESFINE3,Finaccess,Deuda (generica / plazo n/d)
AXESFINF3.MX,AXESFINF3,Finaccess,Deuda (generica / plazo n/d)
AXESPROA.MX,AXESPROA,Finaccess,Clave opaca (sin tema en la clave)
AXESPROE4.MX,AXESPROE4,Finaccess,Clave opaca (sin tema en la clave)
AXESPROF1.MX,AXESPROF1,Finaccess,Mixtos / balanceados / perfilados
AXESPROF2.MX,AXESPROF2,Finaccess,Mixtos / balanceados / perfilados
AXESPROF3.MX,AXESPROF3,Finaccess,Mixtos / balanceados / perfilados
AXESPROM2.MX,AXESPROM2,Finaccess,Clave opaca (sin tema en la clave)
AZMT-C1FF10B.MX,AZMT-C1FF10B,Azimut,Deuda (generica / plazo n/d)
AZMT-D1FF10B.MX,AZMT-D1FF10B,Azimut,Deuda corto plazo
AZMT-G1E2.MX,AZMT-G1E2,Azimut,Clave opaca (sin tema en la clave)
AZMT-G1F5.MX,AZMT-G1F5,Azimut,Clave opaca (sin tema en la clave)
AZMT-G1F6.MX,AZMT-G1F6,Azimut,Clave opaca (sin tema en la clave)
AZMT-G1M2.MX,AZMT-G1M2,Azimut,Clave opaca (sin tema en la clave)
AZMT-V1.MX,AZMT-V1,Azimut,Clave opaca (sin tema en la clave)
AZMT-V1A.MX,AZMT-V1A,Azimut,Clave opaca (sin tema en la clave)
AZMT-V1E1.MX,AZMT-V1E1,Azimut,Clave opaca (sin tema en la clave)
AZMT-V1E2.MX,AZMT-V1E2,Azimut,Clave opaca (sin tema en la clave)
AZMT-V1F10A.MX,AZMT-V1F10A,Azimut,Clave opaca (sin tema en la clave)
AZMT-V1F2.MX,AZMT-V1F2,Azimut,Clave opaca (sin tema en la clave)
AZMT-V1F5.MX,AZMT-V1F5,Azimut,Clave opaca (sin tema en la clave)
AZMT-V1FF10B.MX,AZMT-V1FF10B,Azimut,Deuda (generica / plazo n/d)
AZMT-V1M2.MX,AZMT-V1M2,Azimut,Clave opaca (sin tema en la clave)
AZMTCHIE1.MX,AZMTCHIE1,Azimut,Clave opaca (sin tema en la clave)
AZMTCHIF2.MX,AZMTCHIF2,Azimut,Clave opaca (sin tema en la clave)
AZMTCHIM4.MX,AZMTCHIM4,Azimut,Clave opaca (sin tema en la clave)
AZMTCONF1.MX,AZMTCONF1,Azimut,Clave opaca (sin tema en la clave)
AZMTCREF1.MX,AZMTCREF1,Azimut,Mixtos / balanceados / perfilados
AZMTEUAM4.MX,AZMTEUAM4,Azimut,Clave opaca (sin tema en la clave)
AZMTMODF1.MX,AZMTMODF1,Azimut,Clave opaca (sin tema en la clave)
AZMTUSDF4.MX,AZMTUSDF4,Azimut,Cobertura cambiaria / dolares (USD)
AZMTUSDM1.MX,AZMTUSDM1,Azimut,Cobertura cambiaria / dolares (USD)
AZT6569IIA.MX,AZT6569IIA,Azimut,Clave opaca (sin tema en la clave)
AZT6569IIB.MX,AZT6569IIB,Azimut,Clave opaca (sin tema en la clave)
AZT7074IIA.MX,AZT7074IIA,Azimut,Clave opaca (sin tema en la clave)
AZT7074IIB.MX,AZT7074IIB,Azimut,Clave opaca (sin tema en la clave)
AZT8084IIA.MX,AZT8084IIA,Azimut,Clave opaca (sin tema en la clave)
AZT8084IIB.MX,AZT8084IIB,Azimut,Clave opaca (sin tema en la clave)
AZT9094IIA.MX,AZT9094IIA,Azimut,Clave opaca (sin tema en la clave)
AZT9094IIB.MX,AZT9094IIB,Azimut,Clave opaca (sin tema en la clave)
AZTBPENB2.MX,AZTBPENB2,Azimut,Clave opaca (sin tema en la clave)
B+RVUS2PV.MX,B+RVUS2PV,BBVA,Renta variable internacional / global
B+RVUS2UHN.MX,B+RVUS2UHN,BBVA,Renta variable internacional / global
BALANCEXD.MX,BALANCEXD,Otras / boutiques,Mixtos / balanceados / perfilados
BBVA34A.MX,BBVA34A,BBVA,Clave opaca (sin tema en la clave)
BBVA34TNC.MX,BBVA34TNC,BBVA,Clave opaca (sin tema en la clave)
BBVA44A.MX,BBVA44A,BBVA,Clave opaca (sin tema en la clave)
BBVA44TNC.MX,BBVA44TNC,BBVA,Clave opaca (sin tema en la clave)
BBVA50A.MX,BBVA50A,BBVA,Clave opaca (sin tema en la clave)
BBVA50TNC.MX,BBVA50TNC,BBVA,Clave opaca (sin tema en la clave)
BBVA56A.MX,BBVA56A,BBVA,Clave opaca (sin tema en la clave)
BBVA56TNC.MX,BBVA56TNC,BBVA,Clave opaca (sin tema en la clave)
BBVA66A.MX,BBVA66A,BBVA,Clave opaca (sin tema en la clave)
BBVA66TNC.MX,BBVA66TNC,BBVA,Clave opaca (sin tema en la clave)
BBVAAA.MX,BBVAAA,BBVA,Clave opaca (sin tema en la clave)
BBVAAC.MX,BBVAAC,BBVA,Clave opaca (sin tema en la clave)
BBVAADA.MX,BBVAADA,BBVA,Clave opaca (sin tema en la clave)
BBVAADC.MX,BBVAADC,BBVA,Clave opaca (sin tema en la clave)
BBVAADGB.MX,BBVAADGB,BBVA,Clave opaca (sin tema en la clave)
BBVAADIF.MX,BBVAADIF,BBVA,Clave opaca (sin tema en la clave)
BBVAADP.MX,BBVAADP,BBVA,Clave opaca (sin tema en la clave)
BBVAADPV.MX,BBVAADPV,BBVA,Clave opaca (sin tema en la clave)
BBVAADUHN.MX,BBVAADUHN,BBVA,Clave opaca (sin tema en la clave)
BBVAAGB.MX,BBVAAGB,BBVA,Clave opaca (sin tema en la clave)
BBVAAIF.MX,BBVAAIF,BBVA,Clave opaca (sin tema en la clave)
BBVAAP.MX,BBVAAP,BBVA,Clave opaca (sin tema en la clave)
BBVAAPV.MX,BBVAAPV,BBVA,Clave opaca (sin tema en la clave)
BBVAAUHN.MX,BBVAAUHN,BBVA,Clave opaca (sin tema en la clave)
BBVAC+A.MX,BBVAC+A,BBVA,Clave opaca (sin tema en la clave)
BBVAC+C.MX,BBVAC+C,BBVA,Clave opaca (sin tema en la clave)
BBVAC+E.MX,BBVAC+E,BBVA,Clave opaca (sin tema en la clave)
BBVAC+F.MX,BBVAC+F,BBVA,Clave opaca (sin tema en la clave)
BBVAC+GB.MX,BBVAC+GB,BBVA,Clave opaca (sin tema en la clave)
BBVAC+IF.MX,BBVAC+IF,BBVA,Clave opaca (sin tema en la clave)
BBVAC+NC.MX,BBVAC+NC,BBVA,Clave opaca (sin tema en la clave)
BBVAC+P.MX,BBVAC+P,BBVA,Clave opaca (sin tema en la clave)
BBVAC+PV.MX,BBVAC+PV,BBVA,Clave opaca (sin tema en la clave)
BBVAC+UHN.MX,BBVAC+UHN,BBVA,Clave opaca (sin tema en la clave)
BBVAC+UHN2.MX,BBVAC+UHN2,BBVA,Clave opaca (sin tema en la clave)
BBVACA.MX,BBVACA,BBVA,Clave opaca (sin tema en la clave)
BBVACAPA.MX,BBVACAPA,BBVA,Renta variable (region n/d)
BBVACAPE.MX,BBVACAPE,BBVA,Renta variable (region n/d)
BBVACAPPV.MX,BBVACAPPV,BBVA,Renta variable (region n/d)
BBVACC.MX,BBVACC,BBVA,Clave opaca (sin tema en la clave)
BBVACD+A.MX,BBVACD+A,BBVA,Clave opaca (sin tema en la clave)
BBVACD+C.MX,BBVACD+C,BBVA,Clave opaca (sin tema en la clave)
BBVACD+E.MX,BBVACD+E,BBVA,Clave opaca (sin tema en la clave)
BBVACD+F.MX,BBVACD+F,BBVA,Clave opaca (sin tema en la clave)
BBVACD+GB.MX,BBVACD+GB,BBVA,Clave opaca (sin tema en la clave)
BBVACD+GPF.MX,BBVACD+GPF,BBVA,Clave opaca (sin tema en la clave)
BBVACD+IF.MX,BBVACD+IF,BBVA,Clave opaca (sin tema en la clave)
BBVACD+NC.MX,BBVACD+NC,BBVA,Clave opaca (sin tema en la clave)
BBVACD+P.MX,BBVACD+P,BBVA,Clave opaca (sin tema en la clave)
BBVACD+PV.MX,BBVACD+PV,BBVA,Clave opaca (sin tema en la clave)
BBVACD+UHN.MX,BBVACD+UHN,BBVA,Clave opaca (sin tema en la clave)
BBVACD+UHN2.MX,BBVACD+UHN2,BBVA,Clave opaca (sin tema en la clave)
BBVACDA.MX,BBVACDA,BBVA,Clave opaca (sin tema en la clave)
BBVACDC.MX,BBVACDC,BBVA,Clave opaca (sin tema en la clave)
BBVACDE.MX,BBVACDE,BBVA,Clave opaca (sin tema en la clave)
BBVACDGB.MX,BBVACDGB,BBVA,Clave opaca (sin tema en la clave)
BBVACDIF.MX,BBVACDIF,BBVA,Clave opaca (sin tema en la clave)
BBVACDP.MX,BBVACDP,BBVA,Clave opaca (sin tema en la clave)
BBVACDPV.MX,BBVACDPV,BBVA,Clave opaca (sin tema en la clave)
BBVACDUHN.MX,BBVACDUHN,BBVA,Clave opaca (sin tema en la clave)
BBVACDUHN2.MX,BBVACDUHN2,BBVA,Clave opaca (sin tema en la clave)
BBVACE.MX,BBVACE,BBVA,Clave opaca (sin tema en la clave)
BBVACGB.MX,BBVACGB,BBVA,Clave opaca (sin tema en la clave)
BBVACIF.MX,BBVACIF,BBVA,Clave opaca (sin tema en la clave)
BBVACORA.MX,BBVACORA,BBVA,Clave opaca (sin tema en la clave)
BBVACORC.MX,BBVACORC,BBVA,Clave opaca (sin tema en la clave)
BBVACORE.MX,BBVACORE,BBVA,Clave opaca (sin tema en la clave)
BBVACORF.MX,BBVACORF,BBVA,Deuda (generica / plazo n/d)
BBVACORGB.MX,BBVACORGB,BBVA,Clave opaca (sin tema en la clave)
BBVACORNC.MX,BBVACORNC,BBVA,Clave opaca (sin tema en la clave)
BBVACORP.MX,BBVACORP,BBVA,Deuda corporativa / privada
BBVACORPV.MX,BBVACORPV,BBVA,Deuda corporativa / privada
BBVACORTNC.MX,BBVACORTNC,BBVA,Clave opaca (sin tema en la clave)
BBVACP.MX,BBVACP,BBVA,Deuda corto plazo
BBVACPV.MX,BBVACPV,BBVA,Deuda corto plazo
BBVACRA.MX,BBVACRA,BBVA,Clave opaca (sin tema en la clave)
BBVACRC.MX,BBVACRC,BBVA,Clave opaca (sin tema en la clave)
BBVACRDA.MX,BBVACRDA,BBVA,Clave opaca (sin tema en la clave)
BBVACRDC.MX,BBVACRDC,BBVA,Clave opaca (sin tema en la clave)
BBVACRDE.MX,BBVACRDE,BBVA,Clave opaca (sin tema en la clave)
BBVACRDF.MX,BBVACRDF,BBVA,Clave opaca (sin tema en la clave)
BBVACRDGB.MX,BBVACRDGB,BBVA,Clave opaca (sin tema en la clave)
BBVACRDNC.MX,BBVACRDNC,BBVA,Clave opaca (sin tema en la clave)
BBVACRDP.MX,BBVACRDP,BBVA,Clave opaca (sin tema en la clave)
BBVACRDPV.MX,BBVACRDPV,BBVA,Clave opaca (sin tema en la clave)
BBVACRDUHN.MX,BBVACRDUHN,BBVA,Clave opaca (sin tema en la clave)
BBVACRE.MX,BBVACRE,BBVA,Mixtos / balanceados / perfilados
BBVACREA.MX,BBVACREA,BBVA,Mixtos / balanceados / perfilados
BBVACREC.MX,BBVACREC,BBVA,Mixtos / balanceados / perfilados
BBVACREE.MX,BBVACREE,BBVA,Mixtos / balanceados / perfilados
BBVACREF.MX,BBVACREF,BBVA,Mixtos / balanceados / perfilados
BBVACREGB.MX,BBVACREGB,BBVA,Mixtos / balanceados / perfilados
BBVACREMB.MX,BBVACREMB,BBVA,Mixtos / balanceados / perfilados
BBVACRENC.MX,BBVACRENC,BBVA,Mixtos / balanceados / perfilados
BBVACREP.MX,BBVACREP,BBVA,Mixtos / balanceados / perfilados
BBVACREPV.MX,BBVACREPV,BBVA,Mixtos / balanceados / perfilados
BBVACREUHN.MX,BBVACREUHN,BBVA,Mixtos / balanceados / perfilados
